时间,商品住宅施工面积-累计值(万平方米),商品住宅施工面积-累计增长(%),商品住宅新开工施工面积-累计值(万平方米),商品住宅新开工施工面积-累计增长(%),商品住宅竣工面积-累计值(万平方米),商品住宅竣工面积-累计增长(%)
2019年3月,,,,,,
2019年2月,466339.67,8.3,13596.56,4.3,8925.56,-7.8
2019年1月,,,,,,
2018年12月,569986.66,6.3,153352.57,19.7,66015.75,-8.1
2018年11月,557172.64,5.7,138535.53,19.3,47178.15,-12.7
2018年10月,542343.74,5.2,123874.66,19.0,40701.77,-12.6
2018年9月,530250.86,4.9,112410.87,19.4,36165.67,-12.3
2018年8月,515960.95,4.6,98306.99,19.7,32459.52,-13.2
2018年7月,502037.33,3.9,84684.81,18.0,29462.51,-12.2
2018年6月,487933.16,3.2,70610.71,15.0,25961.89,-12.8
2018年5月,469769.7,2.5,53097.76,13.2,21138.18,-12.8
2018年4月,454588.67,2.0,38079.09,9.4,17337.51,-13.8
2018年3月,441540.43,1.9,25531.27,12.2,14197.56,-14.0
2018年2月,430669.35,1.8,13031.53,5.0,9681.88,-17.1
2018年1月,,,,,,
2017年12月,536443.96,2.9,128097.78,10.5,71815.12,-7.0
2017年11月,527019.29,3.1,116089.4,10.8,54058.8,-4.1
2017年10月,515386.53,2.8,104125.41,9.6,46558.69,-2.7
2017年9月,505329.71,2.9,94112.69,11.1,41260.09,-1.9
2017年8月,493274.72,2.8,82131.21,11.6,37413.45,0.5
2017年7月,483144.63,2.8,71745.69,11.9,33543.19,-0.7
2017年6月,472721.95,2.9,61398.81,14.9,29760.38,2.5
2017年5月,458115.71,2.6,46902.97,15.1,24231.51,3.4
2017年4月,445657.17,2.5,34799.86,17.5,20108.91,8.0
2017年3月,433241.41,2.2,22750.71,18.1,16499.92,13.7
2017年2月,423184.76,2.1,12410.23,14.8,11674.18,15.3
2017年1月,,,,,,
2016年12月,521310.0,1.9,115911.0,8.7,77185.0,4.6
2016年11月,511416.21,1.6,104775.57,7.9,56379.15,5.3
2016年10月,501471.49,1.8,94995.62,8.3,47827.6,5.7
2016年9月,491030.62,1.7,84680.82,6.7,42068.08,11.3
2016年8月,479954.23,2.9,73563.38,11.7,37238.84,18.2
2016年7月,470142.18,3.1,64101.65,13.1,33781.69,20.3
2016年6月,459444.39,3.4,53433.11,14.0,29023.95,19.2
2016年5月,446436.1,3.7,40767.29,16.2,23438.16,19.6
